Topic,Tweet,Airline
Luggage Issues,@VirginAmerica everything was fine until you lost my bag,Virgin America
Luggage Issues,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Virgin America
Luggage Issues,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Virgin America
Customer Service,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Virgin America
Customer Service,@united rude rude,United
Customer Service,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes,United
Delays & Waiting,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Virgin America
Delays & Waiting,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Virgin America
Delays & Waiting,@VirginAmerica Another delayed flight? #likingyoulessandless,Virgin America
Delays & Waiting,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy,United
Delays & Waiting,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,United
Delays & Waiting,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks",United
Seating / Comfort,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,Virgin America
Seating / Comfort,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,Virgin America
Seating / Comfort,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,Virgin America
Customer Service,@united I flew back w other company since United didnt have an earlier flight,United
Customer Service,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,United
Customer Service,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,United
Delays & Waiting,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Virgin America
Delays & Waiting,@United 50 minute wait times to help with a Cancelled Flightled flight?? Help a guy out?,United
Delays & Waiting,@united been on hold for almost two hours trying to talk to someone about a Cancelled Flighted flight tomorrow morning. What do you suggest?,United
Customer Service,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,Virgin America
Customer Service,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail,Virgin America
Customer Service,@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.,United
Cancellations / Flights,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Virgin America
Cancellations / Flights,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,United
Cancellations / Flights,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?,United
Cancellations / Flights,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Virgin America
Cancellations / Flights,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight.",United
Cancellations / Flights,@united 3 hours to rebook but 8 hours l8r the same problem again. Arrive at gate stopped cause now infant is sitting in 4 yr old lap,United
